question,class,answer,drug,doctor,speciality
"Cold, Dry Cough, tiring & fever",cold and cough,dolo 500 mg twice daily for 3 dayssyrup ASCORIL LS twice daily for 5 days,https://1mg.com/drugs/ascoril-ls-syrup-63412,Dr. Pushkar Mani,Physician
"hello doctor, i am facing problem of itching since yesterday, complete body is itching due to which there are rashes on my body now and its beciming complete red. please suggest something for this. thanks",other,Tab Allegra 120mg sos Also see a dermatologist,https://1mg.com/drugs/allegra-120mg-tablet-68763,Dr. Sfurti Mann,Internal Medicine
"Hello sir, Actually she was suffering from fever and body pain from last 3-4 days. And taking calpol 650, cetrizine & azithromicin+cefixime200. Now she is ok but suddenly red rashes has appeared on her body and itching is also happening Pls suggest something",fever,Tab Allegra 120mg daily,https://1mg.com/drugs/allegra-120mg-tablet-68763,Dr. Sfurti Mann,Internal Medicine
Affected by Chickenpox and itchy Sensation Occurred.,fever,Tab Allegra 120mg sos,https://1mg.com/drugs/allegra-120mg-tablet-68763,Dr. Sfurti Mann,Internal Medicine
Allergic problem and irritation in nose and eyes,other,Tab Allegra 1 Od x 3 days,https://1mg.com/drugs/allegra-120mg-tablet-68763,Dr. Sunil Sekhri,Diabetology
"I've got a bee sting in my albow, it has swelled badly. Please suggest something",other,Tab Allegra 120mg stat Visit local doctor,https://1mg.com/drugs/allegra-120mg-tablet-68763,Dr. Sfurti Mann,Internal Medicine
itching & rashes. which medicine should i take,other,Consult dermatologist May take tab Allegra 120mg sos,https://1mg.com/drugs/allegra-120mg-tablet-68763,Dr. Sfurti Mann,Internal Medicine
"Hi Doctor, Please refer to the following for my mother: 10th August 2016 onwards fever 102 degrees which lasted for 4 days. Also, there was Joint and body pain, headache, and bitter tastebuds. We then went for typhoid test (PFA the report) then a local doctor here confirmed typhoid. Taking medicines (attached the medicines she is taking currently) From 22nd aug onwards. Current status: although she is not having any fever now but having alot of body itching due to which she is not able to sleep at all. Request you to please help and advise whether any changes need to be made in the medication? Or any other course to be followed? And Do's and Donts. Thanks and Regards",other,Kindly consult in person for detailed consultation She may take tab Allegra 120mg for itching,https://1mg.com/drugs/allegra-120mg-tablet-68763,Dr. Sfurti Mann,Internal Medicine
Allergies problem rash in body particularly hand and legs .,other,"Allegra-M Tablet ,1 tab once daily in night after dinner for - 1 week",https://1mg.com/drugs/allegra-120mg-tablet-68763,Dr. Pushkar Mani,Physician
"Itching, redness all over body",other,Take tab avil 25 mg stat,https://1mg.com/drugs/avil-25-tablet-69629,Dr. Dharamvir Singh,Dermatology
Can we offer avil 25 mg tablet,other,Your question is not clear,https://1mg.com/drugs/avil-25-tablet-69629,Dr. Gopal Bansilal Samdani,Paediatrics
I am having rashes under legs since 2 months all that it becomes round and circular red rashes are formed itching are also proved there and blacked,other,Take tab avil 25 mg at night,https://1mg.com/drugs/avil-25-tablet-69629,Dr. Dharamvir Singh,Dermatology
Eaching at lower part and back side from two months,other,Ok take tab avil 25 mg once at night,https://1mg.com/drugs/avil-25-tablet-69629,Dr. Dharamvir Singh,Dermatology
Having allergic dry cough. As per doctor using montair lc but still no improvement is there tb course is running. What to do for cough?? Doctor dry cough is occuring while sleeping in the bed only or it has specific time like midnight or early morning. It continues for 1 hour or more,cold and cough,You may try tab avil 25 mg at bedtime for five days and revert,https://1mg.com/drugs/avil-25-tablet-69629,Dr. Vijay Verma,ENT
She is sufrrig Fram chikanpox so pl.advice remedy and which medicin give.,fever,"Tab avil 25 mg at night , drink lot of water ,",https://1mg.com/drugs/avil-25-tablet-69629,Dr. Dharamvir Singh,Dermatology
Allergic reaction 2 levocetzine My sister took a levocetzine last night Woke up with swollen lips and these small dots on her arms I think its an allergic reaction to the medicine Though she did take the same medicine day before but there was no reaction,other,The medication is an antiallergic but rarely it can also cause allergy though a clinical check up is required to determine whether it is allergic reaction . Take Tab Avil 25 mg 1 stat,https://1mg.com/drugs/avil-25-tablet-69629,Dr. Sunil Sekhri,Diabetology
I am having Esnophils as could be seen in CBC report. Could you prescribe medication please.,other,Tab avil 1-0-1,https://1mg.com/drugs/avil-25-tablet-69629,Dr. Vasim Khatri,Physician
Cold and heaviness in head since 15/days. Took Azee 500 also. Still continues.,cold and cough,CTZ plus twice daily for 5 days,https://1mg.com/drugs/azee-500-tablet-324155,Dr. Pushkar Mani,Physician
What medicine has to be taken for throat pain.,cold and cough,Take tab azee 500 mg once a day for three days,https://1mg.com/drugs/azee-500-tablet-324155,Dr. Vijay Verma,ENT
"My wife is having throat infections, also feeling difficulty in speaking (Voice is very heavy), no fever. her age is 36 years can i give her Azee 500, Pls advise",cold and cough,Before any antibiotics can be given it is necessary to assess the severity of infection. a clinical check up is required to make a diagnosis and then appropriate medication will be prescribed,https://1mg.com/drugs/azee-500-tablet-324155,Dr. Sunil Sekhri,Diabetology
"I am suffering from cold since last 8 to 9 days.sometimes fever headach,  consult me allegra 120 in night.my condition worst today i go cbc blood test coz  suggest me any othr medicine for me",cold and cough,Take azee 500 mg once a day for five days with allegra,https://1mg.com/drugs/azee-500-tablet-324155,Dr. Vijay Verma,ENT
I am suffering from severe cough I took azee 500 but no effect.what should I take,cold and cough,"levofloxacin 500 mg twice daily for 3 days, syrup grilinctus 15ml thrice daily for 3 days",https://1mg.com/drugs/azee-500-tablet-324155,Dr. Pushkar Mani,Physician
Medicine for throat infections I am suffering from throat infection since past 3-4 days,cold and cough,Bernadine gargle with water three times a day for 7 days Tab Azee 500mg 1OD FOR 3 DAYS,https://1mg.com/drugs/azee-500-tablet-324155,Dr. Tapas Kumbhkar,Internal Medicine
U wanted to know abt the uses of the following tablets: 1) Benz pearls 2) Azee 500 3) T.Telelust L and 4) Wystone I wanted to know abt the uses of the following tablets: 1) Benz pearls 2) Azee 500 3) T.Telelust L and 4) Wystone,other,"They have multiple uses. Benz pearl cough suppressant, azee antibiotics, t telecast antihistamine, wysolone steroid. All these can treat a allergic cough",https://1mg.com/drugs/azee-500-tablet-324155,Dr. Shubhra Chandan Pradhan,ENT
Bad cough and cold for the last three days advice tablets,cold and cough,Tab REM-CC twice a dayTab amoxyclav BD for 5 days,https://1mg.com/drugs/amoxyclav-625-tablet-140781,Dr. Gurpreet Singh,Physician
I feel pain on right side slightly upper thn waist And same tym feels like vomating. Plss help me what to do,vomit,Hi PATIENT  have replied earlier to your query. Please take amoxyclav tablets for UTI.,https://1mg.com/drugs/amoxyclav-625-tablet-140781,Dr. Megha Tuli,Obstetrics and Gynaecology
"Throat infection paining only in right side and also created pain in my ears, teeth and head.complety affected my all activity",cold and cough,Take amoxyclav tablet twice a day for 5 daysAnd take sinarest respule and break it in water just after boiling and take steam,https://1mg.com/drugs/amoxyclav-625-tablet-140781,Dr. Gurpreet Singh,Physician
Is amoxyclav & nitrofurantion is safe during pregnancy,other,Yes can be taken,https://1mg.com/drugs/amoxyclav-625-tablet-140781,Dr. Suman Rao,Obstetrics and Gynaecology
"Dry Cough, High Fever 104 tmp, past 10 days back taken amoxyclav 5ml bd 3days Given Meftal500 half tab now",cold and cough,"Monitor temperature of Patient. If Patient has fever place a cool, damp washcloth on your child's forehead. Give your Patient a lukewarm tub bath or a sponge bath. Give a sponge bath as follows: - ? Use lukewarm water [90?F (32.2?C) to 95?F (35?C)]. Do not use cold water, ice, or rubbing alcohol, which will lower the child's body temperature too quickly. ? Sponge for 20 to 30 minutes. ? Stop if the child starts to shiver. If your child doesn't like the sponge bath or doesn't feel better after the bath, there is no need to give another one. You can use paracetamol also along with above measures to control fever till you consult Dr.  will determine underlying disorders by clinical examination which range from mild conditions to the most serious of bacterial and viral illnesses and will prescribe medicines accordingly.",https://1mg.com/drugs/amoxyclav-625-tablet-140781,Dr. Gopal Bansilal Samdani,Paediatrics
Scar on face due to bacterial infections,other,"Pic is not clear, plz visit  for proper opinion",https://1mg.com/drugs/amoxyclav-625-tablet-140781,Dr. Atul Jain,Dermatology
I have a history of recurring yeast and bacterial vaginosis infections.,other,Tab metrogyl 500 mg twice a day x 5 days and tab fluconazole 150 mg three doses alternate days,https://1mg.com/drugs/amoxyclav-625-tablet-140781,Dr. Sonu Balhara Ahlawat,Obstetrics and Gynaecology
"I am having cold and cough past 6 days. I took cheston cold,Ambrodil s syrup and amoxyclav 625 Cold is much better but cough is very bad I am getting brown or green phlegm and heavy head What can be done now. I am sick of coughing.",cold and cough,Cap RTO two times daily for 5 daysSyrup Grilinctus 5'ml three times a day for 5 days,https://1mg.com/drugs/amoxyclav-625-tablet-140781,Dr. Pushkar Mani,Physician
"From last one day, heavy cough and pain in throat. Which medicine should I take?",cold and cough,Tab medlar bd 5days n syrup ascoril,https://1mg.com/drugs/ascoril-d-plus-syrup-sugar-free-184611,Dr. Gurpreet Singh,Physician
Heavy cold and cough Earlier we used Ascoril syrup,cold and cough,"There are many underlying causes of Patient?s symptoms. Different cause needs different treatment. Specific treatment cannot be given unless we establish exact underlying cause. Final and perfect diagnosis cannot be done without doing clinical examination of patient. Please consult me or any other Paediatrician.  will take detail history and will examine patient in detail. All information will be used to determine exact underlying cause of problem. Depending upon cause  will prescribe you treatment.For cough, cold -- Prevent dehydration. Fluids may help thin secretions and soothe an irritated throat. Dry, hacking coughs respond to honey in hot water, tea, or lemon juice. Drink plenty of fluids to replace those lost from sweating and having a runny nose, get plenty of rest, eat healthily ? a low-fat, high-fibre diet is recommended, including plenty of fresh fruit and vegetables. OTC drugs, gargling with salt water and sucking on menthol sweets can help relieve a sore throat and blocked nose, are generally safe for older children and adults to take, but might not be suitable for babies, young children. Avoid applying Vicks VapoRub to babies and toddlers.You should never give children under 4 years of age over-the-counter cough and cold products without checking with your child's doctor. These medicines may harm young children.Your child may be suffering from Asthama. Asthma can be hard to diagnose. Your child's doctor will consider the nature and frequency of symptoms and may use tests to rule out other conditions and to identify the most likely cause of his or her symptoms. A number of childhood conditions can have symptoms similar to those caused by asthma. To make things more complicated, these conditions also commonly co-occur with asthma. So your child's doctor will have to determine whether your child's symptoms are caused by asthma, a condition other than asthma, or both asthma and another condition.",https://1mg.com/drugs/ascoril-d-plus-syrup-sugar-free-184611,Dr. Gopal Bansilal Samdani,Paediatrics
Red pimples and khaj khujli my private part,other,Dear PATIENT  A gel twice daily over face and tablet Atarax 25mg at night for itching,https://1mg.com/drugs/atarax-25mg-tablet-228160,Dr. Banashree Majumdar,Dermatology
Skin allergy I take the tablet tecgin but nothing happened again allergy and boby full hitching pls suggest me,other,Tab Atarax 25 at night,https://1mg.com/drugs/atarax-25mg-tablet-228160,Dr. Atul Jain,Dermatology
I am itching like a dog from last 40 days on all over the body i take citrizine for itching but it does not effect now i m feeling helpless It was starting after fever i had fever for a week,other,Tab atarax 25 at night for few days,https://1mg.com/drugs/atarax-25mg-tablet-228160,Dr. Atul Jain,Dermatology
Iching very much & skin will hard .,other,Need to start oral medicineMeanwhile take tab. Atarax 25 BD,https://1mg.com/drugs/atarax-25mg-tablet-228160,Dr. Atul Jain,Dermatology
Having excessive itching all over the body and suffering from kidney problem,other,Tab Atarax 25 at night meanwhile visit skin specialist for proper examination and treatment,https://1mg.com/drugs/atarax-25mg-tablet-228160,Dr. Atul Jain,Dermatology
My grandmother was given anti depressant ab year back and she couldn't continue due to severe itching in her whole body. Even after withdrawing it since a year her body develops rashes and itching hasn't gone back despite taking medicines like Xyzal etc. Wondering what to do now ?,other,Tab atarax 25 twice a dayApply coconut oil twice a day,https://1mg.com/drugs/atarax-25mg-tablet-228160,Dr. Atul Jain,Dermatology
"For my son , There is a red rashes on body, Age 6.5 years",other,apply momate Lotion. - twice daily for 7daystake tab atarax (10)-1 tab twice daily for 10days to reduce itching,https://1mg.com/drugs/atarax-25mg-tablet-228160,Dr. Souvik Sardar,Dermatology
I need cough syrup for Dry Cough,cold and cough,Alex syp 1tsf twice daily,https://1mg.com/drugs/alex-syrup-63175,Dr. Sfurti Mann,Internal Medicine
Having dry cough when sitting in AC or contaminated with cold air,cold and cough,Alex cough syp two tsf daily,https://1mg.com/drugs/alex-syrup-63175,Dr. Sfurti Mann,Internal Medicine
"From two days cough Having Diabetic, thyroid and asthma Can any one suggest a good cough syrup",cold and cough,"warm saline gargles, Syrup Alex 1 tsf tid x 3 days",https://1mg.com/drugs/alex-syrup-63175,Dr. Sunil Sekhri,Diabetology
Suffering from severe dry cough from last 5 days.,cold and cough,Take tab Telekast L at night for two weeks Syp Alex 2 tsf thrice daily Betadine gargles,https://1mg.com/drugs/alex-syrup-63175,Dr. Sfurti Mann,Internal Medicine
"Suffering from dry cough from last few days,please suggest medicine As I have already taken ALEX syrup from Glenmark But not feeling well yet",cold and cough,"You need a chest examination for assessment of cough.Also CBC, ESR, IgE level , AEC, chest X Ray",https://1mg.com/drugs/alex-syrup-63175,Dr. Sfurti Mann,Internal Medicine
severe cold and cough for the last to days. have dry cough now,cold and cough,Tab montair LC at night Syp Alex 2 tsf thrice daily CBC ESR IgE levels chest X Ray,https://1mg.com/drugs/alex-syrup-63175,Dr. Sfurti Mann,Internal Medicine
Cold and throat ache. Irregular cough,cold and cough,Tab Dolo 650mg twice daily Alex cough syp twice daily,https://1mg.com/drugs/alex-syrup-63175,Dr. Sfurti Mann,Internal Medicine
We have surfing from cough & cold Plz suggest me any syrup.,cold and cough,Alex syp twice daily,https://1mg.com/drugs/alex-syrup-63175,Dr. Sfurti Mann,Internal Medicine
Feeling acid reflux for fhe last 4 days.took aciloc and zintac but it comes back,acidity,Take a cap pentop i. T. Once a day empty stomach,https://1mg.com/drugs/aciloc-150-tablet-134660,Dr. Mehtab Baig,Orthopaedic Physiotherapy
Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers,acidity,You need to be examined in clinic to reach a diagnosis and then appropriate medicine can be prescribed,https://1mg.com/drugs/aciloc-150-tablet-134660,Dr. Sunil Sekhri,Diabetology
Having problem of acid reflux disease with throat infection and pain in right side of abdomen,acidity,"take avipattikar churan 1 spoon twice before meal, for throat infection do gargles with lyuke warm water and mixing tankan bhasma a littlein it,,",https://1mg.com/drugs/aciloc-150-tablet-134660,Dr. Aanchal Maheshwari,Ayurveda
"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough",cold and cough,It can be allergic cough or acid reflux disease. Can't give more opinion without seeing,https://1mg.com/drugs/aciloc-150-tablet-134660,Dr. Shubhra Chandan Pradhan,ENT
"acid reflux, gastric, sugar stimulate acid reflux.",acidity,"CBC,ESR,LIPID PROFILE,URINE RE/CS, KFT, LFT, VIT D & B estimation,TAKE RABEKIND DSR once a day empty stomach FOR 3 week",https://1mg.com/drugs/aciloc-150-tablet-134660,Dr. Pushkar Mani,Physician
Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen,acidity,"Dear sir for the time being you can take Robinia 30, 04 drops in half cup water and Nixocid tab 2 tab thrice daily for a month, but as this case needs supervision, discussion and examination you need to visit a homeopath so that he can discuss your case in detail, get some investigations, do examination and guide you accordingly,",https://1mg.com/drugs/aciloc-150-tablet-134660,Dr. Saurav Arora,Homeopathy
Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often,acidity,it may be due to acidity also you may have got some ulcer or infection in that region visit ent specialist near you for proper examination,https://1mg.com/drugs/aciloc-150-tablet-134660,Dr. Vijay Verma,ENT
Can I take Aciloc 30 tablet in pregnancy? What should be quantity of folic acid in pregnancy ?,other,5 mg once daily folic acid,https://1mg.com/drugs/aciloc-150-tablet-134660,Dr. Sonu Balhara Ahlawat,Obstetrics and Gynaecology
My Absolute esnophil count is 800 and it varies from 500 to 1100 from last one year .I have taken banoside fort for one month. But sneezing and runny nose is the symptoms of my problems.when I took Allegra m than I feel good. So please advise me.,cold and cough,Take Allegra M SOSYou also need a clinical assesssemnt,https://1mg.com/drugs/allegra-m-tablet-9172,Dr. Sunil Sekhri,Diabetology
"Good Morning Doctor, I am having severe cold daily while taking head bath. Also irritating on nose. Heavily sneezing Often I have allergies on nose. I am taking antibiotics to continue my routine works. So please give permanent solution for the above mentioned. Regards, PATIENT",cold and cough,Allegra M 1 tab in night for 5 daysNo need to take antibiotic,https://1mg.com/drugs/allegra-m-tablet-9172,Dr. Pushkar Mani,Physician
itching in throt due to fever !,fever,Allegra m once daily in night for 5 days,https://1mg.com/drugs/allegra-m-tablet-9172,Dr. Pushkar Mani,Physician
"I m allergic dont know to wat exactly???but i get running nose,watery eyes,nasal blockage whenever my nose gets irritated best soln available???",cold and cough,Take Allegra M 1 tab daily for 1 week,https://1mg.com/drugs/allegra-m-tablet-9172,Dr. Pushkar Mani,Physician
I have reaction from the Capsule Minicycline(1 dose taken). The swelling in the lips and rashes are observed. The above tablet is taken for thought infection. How to get rid of this reaction swelling and rashes. I have stopped the dose.,other,take Allegra M once daily for 3 days,https://1mg.com/drugs/allegra-m-tablet-9172,Dr. Pushkar Mani,Physician
Repetition of allergy cough in every 3 or 4 month Sometimes it convert into bronchitis,cold and cough,Allegra M twice daily for 7 days,https://1mg.com/drugs/allegra-m-tablet-9172,Dr. Pushkar Mani,Physician
Three days old cold and cough nasal block levocet 5mg bd start but no reduce so an antibiotic treatment,cold and cough,Take Allegra M once daily in night for 5 nights,https://1mg.com/drugs/allegra-m-tablet-9172,Dr. Pushkar Mani,Physician
My 8 Month old daughter is suffering for cold with fever and caugh also for 2 Days .doctor prescribed her asthakind for caugh and pacimol drop for fever and bactogard as antibiotic.still she is caughing i could not understand how caugh comes out from her chest.,cold and cough,You may change the syrup to ambrodil S 1 ml thrice u can day for 5 days,https://1mg.com/drugs/ambrodil-s-syrup-161343,Dr. Sachin Goel,ENT
Can we give ambrodil-s and polymol kid for 6 months baby at a time for fever and cough,fever,The risks that are associated with self-medication include: ?Inaccurate diagnosis. ?Using inappropriate medications that cause side effects. ?Masking the symptoms of a serious condition. ?Delaying medical advice. ?Inaccurate dosage that leads to accidental overdose,https://1mg.com/drugs/ambrodil-s-syrup-161343,Dr. Gopal Bansilal Samdani,Paediatrics
Hi my son is coughing a lot from last 1 day,cold and cough,"any anti tussive syrup would do if its a dry cough so can give Ambrodil or Piriton CSif its a productive cough any expectorant would be fine, like Ascoryl",https://1mg.com/drugs/ambrodil-s-syrup-161343,Dr. Prashant Singh,Paediatrics
"Hello sir from last 3 months cough problem in night , using some syrups like , bronx,ambrodil s, but only some control after completed the syrup again cough started at night so please tell what can i do sir for fully clearing",cold and cough,"Your child may be suffering from Asthama. Asthma can be hard to diagnose. Your child's doctor will consider the nature and frequency of symptoms and may use tests to rule out other conditions and to identify the most likely cause of his or her symptoms. A number of childhood conditions can have symptoms similar to those caused by asthma. To make things more complicated, these conditions also commonly co-occur with asthma. So your child's doctor will have to determine whether your child's symptoms are caused by asthma, a condition other than asthma, or both asthma and another condition.",https://1mg.com/drugs/ambrodil-s-syrup-161343,Dr. Gopal Bansilal Samdani,Paediatrics
Ambrolite S cough syrup is safe in pregnancy of 10 weeks.,cold and cough,"If your cough is excessive, which might harm the pregnancy, in that case you can take this cough syrup. Otherwise avoid cough syrups in general during pregnancy. Take it only if cough is very bad.",https://1mg.com/drugs/ambrodil-s-syrup-161343,Dr. Megha Tuli,Obstetrics and Gynaecology
"Hello Dr., Pls help me the difference in ambrodil lx and s+. Which one is helpful to my daughter 3.5 yrs old. One dr. Suggested lx and other one s+. Pls provide me the dosage also. Regards, Prajeesh",other,"hello, both are nearly same effect. You can use either of the two safely for your child. Give 4 ml thrice daily for 4 days.",https://1mg.com/drugs/ambrodil-s-syrup-161343,Dr. Rahul Yadav,Paediatrics
My 3 years child having cough from 4 days . I am giving him ambrodil please suggest,cold and cough,"Most coughs and colds are viral induced illness. For such illness, the best we can offer is a symptom specific treat. Paracetamol available over the counter can be used for fever. Please use saline nasal drops to open blocked nose. I would advise you to get your kid examined by a paediatrician if symptoms persists or worsen.Your queries were being answered by paediatrician  Pranav Gupta, New Delhi. To help us server you better, please submit a feedback on https://www.1mgdoctors.com/reviewdoctor/dr-pranav-40b65fe7d6",https://1mg.com/drugs/ambrodil-s-syrup-161343,Dr. Pranav Gupta,Paediatrics
My stomach is disturbed for last 5 days I don't have problem of loose motions but causing anal itch after latrin Please help me.,other,take tablet albendazole 400mg one tablet,https://1mg.com/drugs/albendazole-400mg-tablet-543127,Dr. Pranay Gandhi,Sexology
I have perianal itching after taking an albendazole 400mg tablet how many days I have to wait to take the next dose,other,Albendazole 400mg at night continuously for 3days,https://1mg.com/drugs/albendazole-400mg-tablet-543127,Dr. Sfurti Mann,Internal Medicine
Please suggest me medicine for stomach worm,other,Tab albendazole 400mg at night for 3 days,https://1mg.com/drugs/albendazole-400mg-tablet-543127,Dr. Sfurti Mann,Internal Medicine
I am having night bruxism for the last 2 weeks. I am also having a little loss of appetite. Is it because of intestinal worms ??,other,Get CBC stool tests done Take albendazole 400mg at night for 3days,https://1mg.com/drugs/albendazole-400mg-tablet-543127,Dr. Sfurti Mann,Internal Medicine
I have been having itching in the anus at night sometimes during the day as well I can feel the worm feeding and going back. I have had this in the past but has gone with medication. Please recommend Should the whole family have the same medicine for precaution.,other,Tab albendazole 400mg at night for three days Tab ivermectin 12mg stat one tab and repeat after 15days,https://1mg.com/drugs/albendazole-400mg-tablet-543127,Dr. Sfurti Mann,Internal Medicine
There is a general fatigue and laziness while i am not in office. I feel like sleeping most of the time. Is this some anemia which is causing very low energy levels in my body? Should i start Revital H or zevit course to become more energetic in day to day life? Are these OTC medicine safe?,other,also get CBC and ESR donetake one tablet of albendazole also on day 1 and day5 (only 1 tablet in 1 day),https://1mg.com/drugs/albendazole-400mg-tablet-543127,Dr. Pushkar Mani,Physician
I would like to know about a effective periodic worm medicine for my son who is 1.5 year and daughter who is 6,other,Albendazole is commonly used for worm infestation.,https://1mg.com/drugs/albendazole-400mg-tablet-543127,Dr. Gopal Bansilal Samdani,Paediatrics
I am getting itches in my latrine area. Which report should be removed for this. Is this possible because of worms in my latrine? Can u suggest me any medicine for this?,other,take norflox tz twcie daily for 3 daysand one tablet of albendazole 400 mg only once,https://1mg.com/drugs/albendazole-400mg-tablet-543127,Dr. Pushkar Mani,Physician
